Functional Description,Method Name
返回集合中的 index项。,item
返回用于此应用程序的标签,get application label
返回一个私有片段管理器，用于在此片段内放置和管理片段,get child fragment manager
已过时。 没有替代品,getInputStream
已过时。,activate
给定的代码点映射到其小写等效项；如果代码点没有等效的小写字母，则返回代码点本身,to lower case
设置子指示器的相对绘图边界,set child indicator bounds relative
从此 uri 获取解码后的查询组件,get query
在安装系统更新包之前验证其加密签名,verify package
设置路由的唯一ID,set id
返回此映射部分的视图，其键的范围为 fromKey到 toKey 。,subMap
返回曲目列表,get tracks
返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，使用这个阶段的默认异步执行工具执行，其中两个结果作为所提供函数的参数。,thenCombineAsync
告知当布局方向为 rtl 从右到左时，此可绘制对象是否会自动镜像,is auto mirrored
从多字符字符串创建一个集合,from
返回远程唤醒属性值配置的属性字段,is remote wakeup
获取唤醒锁,acquire
将新意图添加到任务堆栈中,add next intent
返回此类型参数的 generic element 。,getEnclosingElement
在给定记帐标签下执行的网络操作的增量计数,increment operation count
指示此操作是否仅供参考且不能单击,info only
当此可展开列表中的组已折叠时要调用的回调方法,on group collapse
返回一个视图断言，断言显示的视图完全位于与给定匹配器匹配的视图的右侧,is right of
入口转换结束时回调,on entrance transition end
注册一个服务以供其他服务发现,register service
删除以前安装的滚动 - 更改回调,remove on scroll changed listener
从此双端队列中删除第一次出现的指定元素。,remove
通知任何监听依赖项影响依赖项的更改,notify dependency change
在指定的时间内持续振动,vibrate
检索一个迭代器对象，您可以使用该对象迭代与此 drm 信息请求对象关联的值,iterator
将接收方的父级设置为 newParent 。,setParent
名为的服务已注册。 现在可以对此服务进行getService请求。,serviceAvailable
返回要放入密钥库的 x.509 证书上使用的结束日期,get certificate not after
打开操作栏中显示的溢出菜单,open action bar overflow or options menu
处理代理实例上的方法调用并返回结果。,invoke
构建密钥对生成器规范的实例,build
返回 get span indexint 、 int 方法的结果是否被缓存,is span index cache enabled
将指定参数设置为给定的 String对象。,setNString
返回用于错误图像的可绘制对象,get image drawable
返回特定运行时统计信息的值，如果不存在此类运行时统计信息，则返回 null,get runtime stat
设置覆盖组密钥,set override group key
发生了可撤消的编辑,undoableEditHappened
调用让子类实例化插入卡内的布局,on create content view
将数字转换为字符串并将其设置为 arg number 的值的便捷方法,set number
覆盖它以提供对包的类加载器的访问,get loader
ICC配置文件标记签名：'gTRC'。,icSigGreenTRCTag
创建一个具有指定宽度和高度的样本模型，其数据布局与此颜色模型兼容,createCompatibleSampleModel
控制热词 ok google 在屏幕上的位置,get hotword indicator gravity
覆盖日历以计算特定于伊斯兰日历系统的几个字段,handle compute fields
将指定参数设置为给定的Java boolean值。,setBoolean
获取用于开关在其中滑动的轨道的可绘制对象,get track drawable
返回下一个 token 的字符串值，并使用它,next string
返回与特定资源 ID 关联的字符串数组,get string array
设置列的最大值,set max value
当您需要更改显示的标题时调用,invalidate headers
返回处理编辑会话的组件,getEditorComponent
关闭此对话框，将其从屏幕上删除,dismiss
检查年份是否适用于本月。,isValidYear
覆盖以处理准备播放应用程序提供的特定媒体 ID 的请求,on prepare from media id
将指定参数设置为给定的Java short值。,setShort
获取此会话的当前活动状态,is active
为当前曲目设置用户可读的描述,set description
返回表中的选定列。,getSelectedAccessibleColumns
设置对话框的图标资源id,set dialog icon
返回用户输入的值，如果wants input为true,getInputValue
返回用于分隔模式中的正子模式和负子模式的字符,get pattern separator
将 TreeWalker移动到当前节点的第一个可见子节点，并返回新节点。,firstChild
确定对象是否可见。,isVisible
子类访问日期格式符号的方法,get symbols
调用内核并将矩阵应用于 ain 的每个单元并复制到 aout,for each
如果指定的键尚未与值关联，请将其与给定值相关联。,putIfAbsent
当用户点击文本视图时调用此方法,view clicked
由项目触摸助手在回收器视图的绘制回调上调用,on child draw over
返回graphics2d上下文中当前变换的副本,getTransform
设置该节点所属的类,set class name
如果获取项目对齐视图 ID 是文本视图并且对齐到基线为 true，则对齐到基线,set aligned to text view baseline
使布局无效，表明如果布局管理器缓存了信息，则应将其丢弃。,invalidateLayout
根据显式提供的类型和数据强制转换为字符串执行类型转换,coerce to string
检查给定的功能名称是否是 get system available features 返回的可用功能之一,has system feature
当此调用的详细信息发生更改时调用,on details changed
当视图持有者绑定到数据时调用,on bind
调用内核并对 ain 的每个单元应用查找并复制到 aout,for each
设置目标/该目标的理想亮度值,set target lightness
返回一个组合运算符，该运算符首先将 before运算符应用于其输入，然后将此运算符应用于结果。,compose
获取与此对象关联的 BeanContextChild （或子接口）。,getBeanContextProxy
如果 sdk > = l 则返回 true，其中启用 z 阴影，以便在垂直网格的每个子项上启用 z 顺序,is using zo rder
返回为设置 debug unregisterboolean 给出的最后一个值,get debug unregister
将指定参数设置为给定输入流。,setBinaryStream
测试孩子是否正常退出,wifexited
获取该节点是否可聚焦,is focusable
确保此编辑器信息中的数据与针对给定目标 api 版本开发的应用程序兼容,make compatible
该适配器表示的数据集中有多少项,get count
返回此字体的点大小，四舍五入为整数,getSize
调用一种方法，该方法在该远程视图的布局中的视图上采用一个 uri,set uri
删除子节点时会调用此方法。,childRemoved
计算该视图在其窗口中的坐标,get location in window
类似于 setconferenceableconnectionsjava.util.list ，设置可以与此连接进行会议的连接或会议的列表,set conferenceables
返回可用于设置属性以匹配编辑器当前状态的Java代码片段。,getJavaInitializationString
当协调器布局的后代尝试启动嵌套滚动时调用,on start nested scroll
返回正在打开的 sq lite 数据库的名称，如给构造函数的那样,get database name
启用或禁用默认的“最后绘制焦点”顺序规则,set focus drawing order enabled
结束当前可能在此上下文中进行的任何输入组合。,endComposition
使用当前全屏模式更新输入法管理器,report fullscreen mode
使用“ post ”方法将带有发布数据的 url 加载到此 Web 视图中,post url
抽屉layout.drawer监听回调方法,on drawer slide
确定针对给定意图处理的最佳服务,resolve service
如果焦点调光器用于焦点突出显示，则返回 true ；否则为假,is focus dimmer used
获取启动器的首选图标密度,get launcher large icon density
如果 true图标已折叠。,isLight
用于在 ui 线程上运行部分测试的帮助程序,run on ui thread
检索应写入日志记录规则日志的目录,get test dir
通过基本路径名查找单个内容提供程序,resolve content provider
执行此sql语句，如果执行此sql语句影响的行数对调用者很重要 - 例如，更新/删除sql语句,execute update delete
获取源码的包名,get package name
检索并删除此双端队列的第一个元素，如果此双端队列为空，则返回 null 。,pollFirst
图片构建时通话结束录音,end recording
当用户直接从通知面板清除通知时提供待发送的意图,set delete intent
使用 Month枚举获取年份字段。,getMonth
当子视图即将从容器中删除时，视图组会调用此方法,remove child
"使用 start cmd 启动系统上的进程并记录输出 post lstring , file 或启动进程并将输出写入到文件 pre lstring , file 根据传入的 android 版本号",start process and log to file
返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，使用提供的执行程序执行，其中两个结果作为提供的操作的参数。,thenAcceptBothAsync
打印位图,print bitmap
返回第一个选中节点的路径,getSelectionPath
返回描述网络子类型的人类可读名称,get subtype name
使用当前的drawable.callback实现来安排这个drawable,schedule self
设置自动完成下拉列表的当前高度,set drop down height
此方法已被弃用。使用壁纸管理器。改为获取所需的最小高度,get wallpaper desired minimum height
清除阴影层,clear shadow layer
报告此边缘效果的动画是否完成,is finished
设置回收器视图是否应该为子级使用自己的测量缓存,set measurement cache enabled
重新评估输入法是否应在全屏模式下运行，如果自上次评估以来发生了变化，则更新其用户界面。,update fullscreen mode
如果软键盘打开则关闭,close soft keyboard
返回用于会话中所有连接的协议的标准名称。,getProtocol
从此日期时间获取指定字段的值，作为 long 。,getLong
设置给定声音类型的默认声音的 uri,set actual default ringtone uri
设置滚动条的值,setValue
根据键的当前状态和类型返回键的可绘制状态,get current drawable state
ztpsv 求解方程组 ax = b 或 atx = b 或 ahx = b 详细信息： 注意：对于 nn 矩阵，输入分配应该是大小为 dimx = nn+1 / 2 的一维分配，以下子程序可以是一个示例，显示如何将上三角矩阵 ' a ' 转换为压缩矩阵 ' b ',ztpsv
当从可绘制的级别列表构造图像级别时，设置图像级别,set image level
断言预期的类可以从实际的对象分配,assert assignable from
设置文本转语音的声音,set voice
启动被测试的服务，就像通过 context.bind 服务意图、服务连接、带有标识服务的意图的标志启动一样,bind service
当该活动的子活动尝试向上导航时调用此方法,on navigate up from child
执行顶部移动动作,top
返回一个取决于 ui object2 的可检查状态的条件,checkable
绘制由x和y坐标数组定义的封闭多边形,drawPolygon
为表列模型事件添加侦听器。,addColumnModelListener
设置数量以限制更新,set update throttle
在指定的 InputSource的上下文中计算已编译的XPath表达式，并将结果作为指定的类型返回。,evaluate
绑定到徽标时启用或禁用自动启动延迟输入转换,set auto start shared element transition
过滤按键事件,on key up
选择指定行处显示的节点,setSelectionRow
删除先前添加到文档中的命名样式。,removeStyle
设置是否可以使用后退键取消该对话框,set cancelable
将字符序列值放入元数据中,put text
添加一个新的意图类别来匹配,add category
获取用于管理以此视图为根的虚拟视图层次结构的提供程序，并向探索窗口内容的辅助功能服务报告,get accessibility node provider
由设备所有者或配置文件所有者调用以禁用特定类型帐户的帐户管理,set account management disabled
如果此 uri 不透明，如“mailto：无人”，则返回 true,is opaque
每当操作模式无效时调用以刷新操作模式的操作菜单。,on prepare action mode
返回用于呈现媒体项行操作的演示者,get action presenter
与此元素关联的类型信息。,getSchemaTypeInfo
获得此发射器将传送MIDI信息的当前接收器。,getReceiver
为当前插入符位置的段落设置逻辑样式,setLogicalStyle
从当前数据位置的地块中读取尺寸,read size
取消之前显示的通知,cancel
获取将启动由该活动的逻辑父级指定的显式目标活动的意图,get parent activity intent
将下一个属性作为Java布尔值写入流中。,writeBoolean
启用或禁用子阴影,set shadow enabled
返回电视输入服务的具体实现。录制会话,on create recording session
创建parcelable类的一个新实例，从给定的parcel实例化它，该parcel的数据先前已由parcelable.write写入parcel,create from parcel
返回上次成功的 dhcp 请求中 dhcp 分配的地址（如果有）,get dhcp info
返回一个视图操作，将回收器视图滚动到某个位置,scroll to position
尝试根据该位图的尺寸创建一个新位图，将新位图的配置设置为指定的配置，然后将此位图的像素复制到新位图中,copy
通常，此调用应从其父级中删除该帧。,closeFrame
返回丢失的数字设置,get lost digits
当一系列项目插入对象适配器时调用,on item range inserted
设置视图的内容描述,set content description
设置为信任代理组件启用的配置功能列表,set trust agent configuration
告诉 LSSerializer过滤器显示哪些类型的节点。,getWhatToShow
获取命令行参数,get params
返回表示此谓词的逻辑否定的谓词。,negate
类似于 set list show boolean ，但从前一个状态转换时不使用动画,set list shown no animation
由系统调用以通知服务不再使用并且正在被删除,on destroy
返回区域的边界作为新路径,get boundary path
返回此排名适用的通知的键,get key
保存层的辅助版本，采用 4 个值而不是 rectf,save layer
由父视图组调用以通知当前与该视图关联的动画的开始,on animation start
向观察者发送更改通知,dispatch change
