根据startDate和endDate计算workingDays, calculateWorkingDays
对sourceRaster执行single-input/single-output操作并写入targetRaster, filter
返回当前event结束时的columnNumber，若无则返回-1, getColumnNumber
为指定Activity启用foreground dispatch, enableForegroundDispatch
返回Shift metaKey是否被按下, isShiftPressed
通知MenuSelection关闭并清除所有menu组件选中状态, clearSelectedPath
返回后续dialog中positiveButton应展示的text, getPositiveButtonText
使用给定value设置time字段, set
若sensor为wakeupSensor则返回true, isWakeUpSensor
返回currency在显示时应保留的defaultFractionDigits, getDefaultFractionDigits
将load结果deliver给已注册的listener, deliverResult
若getId为resource identifier则返回对应entry name, getIdEntry
与saveInstanceState Bundle相同，但会在restart后持久化activity时被调用, onSaveInstanceState
返回IME可用的maxWidth像素, getMaxWidth
创建共享此buffer内容的subSequence新double buffer, slice
为给定layoutManager创建horizontal方向helper, createHorizontalHelper
设置spinner弹出选择窗口的popupBackgroundDrawable, setPopupBackgroundDrawable
设置ViewStub在inflate时要触发的onInflateListener, setOnInflateListener
初始化server package前缀：假设server引用类实现位于prefix定义的package中, packagePrefix
读取4个input字节并返回int值, readInt
返回描述Component自动滚动区域或border的autoscrollInsets, getAutoscrollInsets
让ScrollView从keyEvent执行滚动，如同事件已由view hierarchy dispatch, executeKeyEvent
根据index检索属性的colorStateList, getColorStateList
触发展示与contact条目交互方式的quickContact对话框, showQuickContact
基于tree构建代表document provider目标列documentId的uri, buildDocumentUriUsingTree
将service属性作为key/value对添加, setAttribute
若author采用lenient语法规则则返回true, isLenient
通知listener打印服务中的attributeUpdate事件, attributeUpdate
便捷方法scroll到指定position, scrollToPosition
注册用于接收GPS measurement的callback, registerGnssMeasurementsCallback
返回value数组的staticLabels：min值映射到label，max值映射到label, getStaticLabels
读取纯text元素内容，非纯text则抛异常, getElementText
注销accessibilityStateChangeListener, removeAccessibilityStateChangeListener
外部子集的publicId, getPublicId
已弃用：后续版本将删除该API, toString
返回使用short样式的default日期/时间formatter, getInstance
设置SIP server的outbound proxy, setOutboundProxy
指示view是否响应longClick事件, isLongClickable
返回channel当前的mute状态, getMute
返回指定locale中keyword对应的value, getKeywordValue
将bitmap像素替换为colors数组, setPixels
返回graphics上下文中char数组的边界, getStringBounds
打开用于拨打/接听通用SIP呼叫的配置文件, open
返回可加入globalSearch的searchable活动列表, getSearchablesInGlobalSearch
返回带color背景的overviewView矩形区域, getOverviewView
根据windowManager.LayoutParams flags设置window flags, setFlags
在parent坐标中命中rect, getHitRect
判断app storage是否为deviceProtectedStorage, isDeviceProtectedStorage
返回interface的class字段, getInterfaceClass
设置匹配contentDescription的descContains条件, descContains
将矩形区域从other Allocation复制到此Allocation, copy3DRangeFrom
读取并返回object, readObject
设置node是否checked, setChecked
从layoutManager获取垂直方向的measureSpec mode, getModeInOther
返回与当前对象类型相同但指定字段变更的实例, with
以Java double读取JDBC DOUBLE参数值, getDouble
发送请求以启动新的media session, startSession
必要时等待计算完成并获取结果, get
阻塞线程直至条件成立或timeout毫秒过去, block
设为true时所有带weight子项按最大子项min尺寸measure, setMeasureWithLargestChildEnabled
以fraction形式返回value数据, getFraction
设置此wakeLock是否为reference counted, setReferenceCounted
定义src atop运算规则：dst.rgb = src.rgb*dst.a + (1.0-src.a)*dst.rgb; dst.a = dst.a, forEachSrcATop
已弃用：RecyclerView detached from window时调用, onDetachedFromWindow
返回系统window inset right像素值, getSystemWindowInsetRight
按给定增量adjust sizes数组, adjustSizes
app被要求打开文件列表时调用, openFiles
返回receiver子项的枚举, children
在menu组件显示区域内拖动mouse时调用, menuDragMouseDragged
会话修改negotiation失败时调用, onCallChangeFailed
设置title中icon的drawable资源ID, setIcon
